city,state_slug,region,ranking,GDP,region_participation,region_participation_accumulated
São João da Barra (RJ),RJ,Sudeste,76º,3626927.0216436633,0.26172005721181796,48.14714759098785
Osasco (SP),SP,Sudeste,77º,3570946.0549227465,0.25768045516701826,48.40482804615487
Jaguariúna (SP),SP,Sudeste,78º,3548311.409728453,0.2560471329082938,48.66087517906316
Marataízes (ES),ES,Sudeste,79º,3486987.0422170344,0.251621949584287,48.91249712864745
Rio Claro (SP),SP,Sudeste,80º,3476165.632755304,0.25084107368396275,49.16333820233142
Belém (PA),PA,Norte,81º,3466825.436985825,0.2501670825734248,49.41350528490484
Mogi das Cruzes (SP),SP,Sudeste,82º,3438105.7828767346,0.24809466438809047,49.661599949292935
Iracemápolis (SP),SP,Sudeste,83º,3397860.2562483028,0.24519053605331645,49.90679048534625
Juiz de Fora (MG),MG,Sudeste,84º,3391865.229812712,0.24475793328729828,50.151548418633546
Rio das Ostras (RJ),RJ,Sudeste,85º,3383994.8477882757,0.2441900043432025,50.39573842297675
Londrina (PR),PR,Sul,86º,3274715.6486365423,0.2363043871021112,50.63204281007886
Petrópolis (RJ),RJ,Sudeste,87º,3222869.438381807,0.23256315022772384,50.864605960306584
Maringá (PR),PR,Sul,88º,3201343.828297162,0.23100985624930803,51.09561581655589
São Carlos (SP),SP,Sudeste,89º,3176273.9960984103,0.22920081022268726,51.32481662677858
João Pessoa (PB),PB,Nordeste,90º,3172863.6005777097,0.22895471513848342,51.55377134191706
Sete Lagoas (MG),MG,Sudeste,91º,3158203.812528966,0.2278968607774956,51.78166820269456
Angra dos Reis (RJ),RJ,Sudeste,92º,3140849.7828508737,0.22664458919521613,52.00831279188978
Itapemirim (ES),ES,Sudeste,93º,3081617.0012850403,0.22237033529164582,52.23068312718142
Americana (SP),SP,Sudeste,94º,3059810.025085076,0.22079673785651327,52.45147986503793
Cuiabá (MT),MT,Centro-Oeste,95º,3015316.877740863,0.21758610003585369,52.669065965073784
Cotia (SP),SP,Sudeste,96º,2991455.0322223264,0.215864222662247,52.88493018773603
Pindamonhangaba (SP),SP,Sudeste,97º,2928001.5644446006,0.21128540287404274,53.09621559061007
Teresina (PI),PI,Nordeste,98º,2897917.854908445,0.2091145540717478,53.30533014468182
Maceió (AL),AL,Nordeste,99º,2868033.6953135566,0.20695810484841695,53.512288249530236
Aparecida de Goiânia (GO),GO,Centro-Oeste,100º,2842268.9878149787,0.2050989164279348,53.71738716595817
